id_schedule,course_name,class_name,course_id
6104d2cf8aadd383ec57d3c3,Desain & Analisis Algoritma,DAA A,10779.0
6104d2cf8aadd383ec57d3c3,Desain & Analisis Algoritma,DAA A,10779.0
6104d2cf8aadd383ec57d3c3,Kecerdasan Artifisial &  Sains Data Dasar,KASDD D,10.0
6104d2cf8aadd383ec57d3c3,Kecerdasan Artifisial &  Sains Data Dasar,KASDD D,10.0
6104d2cf8aadd383ec57d3c3,Pemrograman Fungsional ,Pemrog Fungsional,15.0
6104d2cf8aadd383ec57d3c3,Pemrograman Fungsional ,Pemrog Fungsional,15.0
6104d2cf8aadd383ec57d3c3,Pengolahan Citra,Pengolahan Citra,233.0
6104d2cf8aadd383ec57d3c3,Pengolahan Citra,Pengolahan Citra,233.0
6104d2cf8aadd383ec57d3c3,Rekayasa Perangkat Lunak,RPL A,24.0
6104d66a8aadd383ec57d3c4,Aljabar Linier,Aljabar Linier A,2225.0
6104d66a8aadd383ec57d3c4,Metodologi Penelitian dan Penulisan Ilmiah,MPPI C,35.0
6104d66a8aadd383ec57d3c4,Sistem Operasi untuk Sistem Informasi,SOSI A,39.0
6104d66a8aadd383ec57d3c4,Pemrograman Berbasis Platform,PBP B,38.0
6104d66a8aadd383ec57d3c4,Pemrograman Berbasis Platform,PBP B,38.0
6104d66a8aadd383ec57d3c4,Struktur Data &  Algoritma,SDA D,30.0
6104d66a8aadd383ec57d3c4,Struktur Data &  Algoritma,SDA D,30.0
6104d8338aadd383ec57d3c8,Arsitektur & Pemrograman Aplikasi Perush.,APAP-B,104.0
6104d8338aadd383ec57d3c8,Jaringan Komunikasi Data,Jarkomdat-A,107.0
6104d8338aadd383ec57d3c8,Manajemen Proyek Teknologi Informasi,ManPro TI-B,114.0
6104d8338aadd383ec57d3c8,Technopreneurship,Technopreneurship,771.0
6104d8338aadd383ec57d3c8,Analisis dan Perancangan Sistem Informasi,Anaperancis-B,103.0
